País,Situación,Firma,Notas
 Antigua y Barbuda,Negociador y firmante,27-09-2018,​​
 Argentina,Negociador y firmante,27-09-2018,​​
 Bahamas,No participante,,
 Barbados,No participante,,
 Belice,Firmante,24-09-2020,
 Bolivia,Negociador y firmante,02-11-2018,​
 Brasil,Negociador y firmante,27-09-2018,​
 Chile,Negociador,,
 Colombia,Negociador y firmante,11-12-2019,​
 Costa Rica,Negociador y firmante,27-09-2018,​
 Cuba,No participante,,
 Dominica,Negociador y firmante,26-09-2020,
 Ecuador,Negociador y firmante,27-09-2018,​​
 El Salvador,Negociador,,
 Granada,Negociador y firmante,26-09-2019,
 Guatemala,Negociador y firmante,27-09-2018,​
 Guyana,Firmante,27-09-2018,​
 Haití,Firmante,27-09-2018,​
 Honduras,Negociador,,
 Jamaica,Negociador y firmante,26-09-2019,​​
 México,Negociador y firmante,27-09-2018,​​
 Nicaragua,Firmante,27-09-2019,​
 Panamá,Negociador y firmante,27-09-2018,​​
 Paraguay,Negociador y firmante,28-09-2018,​
 Perú,Negociador y firmante,27-09-2018,​
 República Dominicana,Negociador y firmante,27-09-2018,​
 San Cristóbal y Nieves,Negociador y firmante,26-09-2019,​​
 San Vicente y las Granadinas,Negociador y firmante,12-07-2019,​
 Santa Lucía,Negociador y firmante,27-09-2018,​
 Surinam,No participante,,
 Trinidad y Tobago,Negociador,,
 Uruguay,Negociador y firmante,27-09-2018,​
 Venezuela,No participante,,
