NOMBRES,CARGOS
Rubén José Ramírez Mateo,Ministro del Ambiente
Mariano Castro Sánchez-Moreno,Viceministro de Gestión Ambiental
Alfredo Mamani Salinas,Viceministro de Desarrollo Estratégico de los Recursos Naturales
Ruperto Andrés Taboada Delgado,Secretario General
Viviana Zaldívar Chauca,Jefa de Gabinete de Asesores
James Raphael Morales Campos,Director de la Oficina General de Asesoría Jurídica
Juana Muñoz Rivera,Directora de la Oficina General de Administración
Juan Carlos Castro Pinto ,Director de la Oficina General de Recursos Humanos del Ministerio
Karla Mariela Urdiales Adrianzén,Directora de la Oficina de Comunicaciones e Imagen Institucional
Marleny Dueñas Agüero,Jefa (e) de Órgano de Control Institucional
Edgar Martín Romero La Puente,Director General de Gestión de Residuos Sólidos
Julio César Guzmán Mendoza,Procurador Público del Ministerio del Ambiente
Johanna Garay Rodríguez,Directora general de Ordenamiento Territorial Ambiental
Milagros Sandoval Diaz,Directora de Mitigación de Gases de Efecto Invernadero
Carlos Francisco Eyzaguirre Beltroy,Director de la Oficina General de Asuntos Socio-Ambientales 
Juan Carlos Mendo Goñi,Director de la Oficina de Finanzas
Manuel Teodosio Santa Cruz Santa Cruz,"Director General de Educación, Ciudadanía e Información Ambiental"
Raquel Hilianova Soto Torres,Directora general de Políticas e Instrumentos de Gestión Ambiental
Milagros Del Pilar Verástegui Salazar,Directora general de Calidad Ambiental
Rosa Mabel Morales Saravia,Directora general de Cambio Climático y Desertificación
